Sample,Time_interval,amend,mgmt,moisture,field_reps,All,Time.Amend.Mgmt,Amend.Mgmt,Amend.Moist,Mgmt.Moist,Time.Mgmt,Time.Moist,NH4,NO3,nrfA
NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,.,.,.
t2.Control.FERT.95.R4,t2,Control,FERT,95,4,t2.Control.FERT.95,t2.Control.FERT,Control.FERT,Control.95,FERT.95,t2.FERT,t2.95,19.94995661,53.74897579,20119.50977
t2.Dig.BM.60.R1,t2,Dig,BM,60,1,t2.Dig.BM.60,t2.Dig.BM,Dig.BM,Dig.60,BM.60,t2.BM,t2.60,37.63581574,138.6666667,20698.35938
t2.Dig.BM.60.R2,t2,Dig,BM,60,2,t2.Dig.BM.60,t2.Dig.BM,Dig.BM,Dig.60,BM.60,t2.BM,t2.60,42.08092458,134.3133333,20067.44336
t2.Dig.BM.60.R3,t2,Dig,BM,60,3,t2.Dig.BM.60,t2.Dig.BM,Dig.BM,Dig.60,BM.60,t2.BM,t2.60,309.6284218,15.44666667,133587.6523
t2.Dig.BM.60.R4,t2,Dig,BM,60,4,t2.Dig.BM.60,t2.Dig.BM,Dig.BM,Dig.60,BM.60,t2.BM,t2.60,6.15963959,132.0083442,24541.42383
t2.Dig.BM.95.R1,t2,Dig,BM,95,1,t2.Dig.BM.95,t2.Dig.BM,Dig.BM,Dig.95,BM.95,t2.BM,t2.95,42.92189112,119.6528663,20348.03906
t2.Dig.BM.95.R2,t2,Dig,BM,95,2,t2.Dig.BM.95,t2.Dig.BM,Dig.BM,Dig.95,BM.95,t2.BM,t2.95,118.0081892,123.2533096,34800.76563
t2.Dig.BM.95.R3,t2,Dig,BM,95,3,t2.Dig.BM.95,t2.Dig.BM,Dig.BM,Dig.95,BM.95,t2.BM,t2.95,265.4176095,3.972437945,188873.8456
t2.Dig.BM.95.R4,t2,Dig,BM,95,4,t2.Dig.BM.95,t2.Dig.BM,Dig.BM,Dig.95,BM.95,t2.BM,t2.95,323.4443007,97.27313277,18079.91211
t2.Dig.FERT.60.R1,t2,Dig,FERT,60,1,t2.Dig.FERT.60,t2.Dig.FERT,Dig.FERT,Dig.60,FERT.60,t2.FERT,t2.60,266.9794045,65.69802255,27870.45
t2.Dig.FERT.60.R2,t2,Dig,FERT,60,2,t2.Dig.FERT.60,t2.Dig.FERT,Dig.FERT,Dig.60,FERT.60,t2.FERT,t2.60,1.474254591,127.0350701,17409.055
t2.Dig.FERT.60.R3,t2,Dig,FERT,60,3,t2.Dig.FERT.60,t2.Dig.FERT,Dig.FERT,Dig.60,FERT.60,t2.FERT,t2.60,1.954806899,129.5217072,16271.47656
t2.Dig.FERT.60.R4,t2,Dig,FERT,60,4,t2.Dig.FERT.60,t2.Dig.FERT,Dig.FERT,Dig.60,FERT.60,t2.FERT,t2.60,3.858517035,121.9322836,17868.97461
t2.Dig.FERT.95.R1,t2,Dig,FERT,95,1,t2.Dig.FERT.95,t2.Dig.FERT,Dig.FERT,Dig.95,FERT.95,t2.FERT,t2.95,11.44571497,120.0932083,25021.98242
t2.Dig.FERT.95.R2,t2,Dig,FERT,95,2,t2.Dig.FERT.95,t2.Dig.FERT,Dig.FERT,Dig.95,FERT.95,t2.FERT,t2.95,68.27102535,118.4872552,19695.67969
t2.Dig.FERT.95.R3,t2,Dig,FERT,95,3,t2.Dig.FERT.95,t2.Dig.FERT,Dig.FERT,Dig.95,FERT.95,t2.FERT,t2.95,285.1202541,46.03804827,35627.67578
t2.Dig.FERT.95.R4,t2,Dig,FERT,95,4,t2.Dig.FERT.95,t2.Dig.FERT,Dig.FERT,Dig.95,FERT.95,t2.FERT,t2.95,60.79919109,123.6677491,29514.79688
